"filename", "language", "JSON", "PowerShell", "YAML", "Markdown", "Batch", "Go", "Go Checksum File", "JSON with Comments", "Go Module File", "TypeScript", "XML", "Shell Script", "vue", "Objective-C", "HTML", "PostCSS", "Java Properties", "Gradle", "Java", "comment", "blank", "total"
"f:\WorkSpace\Go\Test\CryptoWitch\.claude\settings.local.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"f:\WorkSpace\Go\Test\CryptoWitch\README.md", "Markdown", 0, 0, 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 340
"f:\WorkSpace\Go\Test\CryptoWitch\Taskfile.yml", "YAML", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
"f:\WorkSpace\Go\Test\CryptoWitch\access.example.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"f:\WorkSpace\Go\Test\CryptoWitch\build-exe.cmd", "Batch", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"f:\WorkSpace\Go\Test\CryptoWitch\build\Taskfile.yml", "YAML", 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 356
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\Taskfile.yml", "YAML", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 238
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 6, 10, 64
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\src\main\java\com\wails\app\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 25, 28, 199
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\src\main\java\com\wails\app\WailsBridge.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 56, 26, 215
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\src\main\java\com\wails\app\WailsJSBridge.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 45, 14, 143
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\src\main\java\com\wails\app\WailsPathHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 12, 17, 119
"f:\WorkSpace\Go\Test\CryptoWitch\build\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
